horoscopo,fecha inicio,fecha final
Rata,05/02/24,24/01/25
Buey,25/01/25,12/02/26
Tigre,13/02/26,01/02/27
Conejo,02/02/27,22/01/28
Dragón,23/01/28,09/02/29
Serpiente,10/02/29,29/01/30
Caballo,30/01/30,16/02/31
Cabra,17/02/31,05/02/32
Mono,06/02/32,25/01/33
Gallo,26/01/33,13/02/34
Perro,14/02/34,03/02/35
Cerdo,04/02/35,23/01/36
Rata,24/01/36,10/02/37
Buey,11/02/37,30/01/38
Tigre,31/01/38,18/02/39
Conejo,19/02/39,07/02/40
Dragón,08/02/40,26/01/41
Serpiente,27/01/41,14/02/42
Caballo,15/02/42,04/02/43
Cabra,05/02/43,24/01/44
Mono,25/01/44,12/02/45
Gallo,13/02/45,01/02/46
Perro,02/02/46,21/01/47
Cerdo,22/01/47,09/02/48
Rata,10/02/48,28/01/49
Buey,29/01/49,16/02/50
Tigre,17/02/50,05/02/51
Conejo,06/02/51,26/01/52
Dragón,27/01/52,13/02/53
Serpiente,14/02/53,02/02/54
Caballo,03/02/54,23/01/55
Cabra,24/01/55,11/02/56
Mono,12/02/56,30/01/57
Gallo,31/01/57,17/02/58
Perro,18/02/58,07/02/59
Cerdo,08/02/59,27/01/60
Rata,28/01/60,14/02/61
Buey,15/02/61,04/02/62
Tigre,05/02/62,24/01/63
Conejo,25/01/63,12/02/64
Dragón,13/02/64,01/02/65
Serpiente,02/02/65,20/01/66
Caballo,21/01/66,08/02/67
Cabra,09/02/67,29/01/68
Mono,30/01/68,16/02/69
Gallo,17/02/69,05/02/70
Perro,06/02/70,26/01/71
Cerdo,27/01/71,14/02/72
Rata,15/02/72,02/02/73
Buey,03/02/73,22/01/74
Tigre,23/01/74,10/02/75
Conejo,11/02/75,30/01/76
Dragón,31/01/76,17/02/77
Serpiente,18/02/77,06/02/78
Caballo,07/02/78,27/01/79
Cabra,28/01/79,15/02/80
Mono,16/02/80,04/02/81
Gallo,05/02/81,24/01/82
Perro,25/01/82,12/02/83
Cerdo,13/02/83,01/02/84
Rata,02/02/84,19/02/85
Buey,20/02/85,08/02/86
Tigre,09/02/86,28/01/87
Conejo,29/01/87,16/02/88
Dragón,17/02/88,05/02/89
Serpiente,06/02/89,26/01/90
Caballo,27/01/90,14/02/91
Cabra,15/02/91,03/02/92
Mono,04/02/92,22/01/93
Gallo,23/01/93,09/02/94
Perro,10/02/94,30/01/95
Cerdo,31/01/95,18/02/96
Rata,19/02/96,06/02/97
Buey,07/02/97,27/01/98
Tigre,28/01/98,15/02/99
Conejo,16/02/99,04/02/00
Dragón,05/02/00,23/01/01
Serpiente,24/01/01,11/02/02
Caballo,12/02/02,31/01/03
Cabra,01/02/03,21/01/04
Mono,22/01/04,08/02/05
Gallo,09/02/05,28/01/06
Perro,29/01/06,17/02/07
Cerdo,18/02/07,06/02/08
Rata,07/02/08,25/01/09
Buey,26/01/09,13/02/10
Tigre,14/02/10,02/02/11
Conejo,03/02/11,22/01/12
Dragón,23/01/12,09/02/13
Serpiente,10/02/13,30/01/14
Caballo,31/01/14,18/02/15
Cabra,19/02/15,07/02/16
Mono,08/02/16,27/01/17
Gallo,28/01/17,15/02/18
Perro,16/02/18,04/02/19
Cerdo,05/02/19,24/01/20
Rata,25/01/20,11/02/21
Buey,12/02/21,31/01/22
Tigre,01/02/22,21/01/23
Conejo,22/01/23,09/02/24
